Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
DOGEUSDT,"SMA_Crossover(5,20)",1d,13,53.85,9.76,5.95,6.11,2.31,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
DOGEUSDT,"SMA_Crossover(10,50)",1d,9,66.67,8.41,3.04,8.42,3.42,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,"SMA_Crossover(5,20)",1d,16,50.00,8.28,4.99,5.00,1.92,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
BNBUSDT,Adaptive(21/55),1d,15,66.67,7.35,1.27,8.60,3.16,400,2024-12-26,2026-01-31,null
DOGEUSDT,"SMA_Crossover(20,50)",1d,6,66.67,7.30,1.71,10.34,4.56,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
LINKUSDT,"SMA_Crossover(5,20)",1d,13,53.85,7.07,3.85,5.07,1.96,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
UNIUSDT,Adaptive(21/55),1d,14,50.00,7.02,6.30,3.87,1.65,400,2024-12-26,2026-01-31,null
SOLUSDT,"SMA_Crossover(10,50)",1d,7,71.43,6.74,1.68,10.96,4.94,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
UNIUSDT,Confluence_Default,1d,13,46.15,6.59,7.11,3.94,1.70,400,2024-12-26,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,"SMA_Crossover(10,30)",1d,10,50.00,6.19,2.43,5.94,2.31,400,2024-12-26,2026-01-31,"{""long_period"":30,""short_period"":10}"
XRPUSDT,"RSI_Strategy(14,65,35)",1d,14,50.00,5.74,5.82,3.72,1.64,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
DOTUSDT,"SMA_Crossover(5,20)",1d,19,42.11,5.70,9.15,2.92,1.48,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
XRPUSDT,"SMA_Crossover(20,50)",1d,7,57.14,5.53,1.83,9.68,4.48,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
DOGEUSDT,"SMA_Crossover(10,30)",1d,11,54.55,5.34,3.26,4.79,1.91,400,2024-12-26,2026-01-31,"{""long_period"":30,""short_period"":10}"
DOTUSDT,"SMA_Crossover(20,50)",1d,5,60.00,5.18,3.21,8.45,3.76,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
UNIUSDT,Confluence_Aggressive,1d,18,44.44,5.09,6.30,2.26,1.33,400,2024-12-26,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BNBUSDT,Confluence_Default,1d,17,58.82,4.70,3.75,4.47,1.80,400,2024-12-26,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,"RSI_Strategy(21,70,30)",1d,2,100.00,3.82,0.61,71.87,100.00,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
LINKUSDT,"SMA_Crossover(50,200)",1d,2,100.00,3.64,1.91,253.56,100.00,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
SOLUSDT,Confluence_Aggressive,1d,17,41.18,3.49,6.73,2.09,1.33,400,2024-12-26,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
DOGEUSDT,"RSI_Strategy(14,70,30)",1d,7,57.14,3.39,5.52,3.98,1.71,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
LINKUSDT,Confluence_Conservative,1d,3,66.67,3.30,3.13,8.05,3.47,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
DOTUSDT,"SMA_Crossover(50,200)",1d,2,50.00,3.13,3.47,7.55,4.86,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
DOTUSDT,"SMA_Crossover(10,50)",1d,8,37.50,3.05,4.76,3.64,1.70,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,"RSI_Strategy(14,75,25)",1d,3,66.67,3.00,1.19,10.09,4.75,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
XRPUSDT,"SMA_Crossover(20,100)",1d,4,75.00,2.90,1.22,10.62,4.24,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
