Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
UNIUSDT,"RSI_Strategy(7,70,30)",1h,181,39.78,1.86,3.88,0.49,1.07,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
ETHUSDT,"SMA_Crossover(50,200)",1h,27,55.56,1.75,0.58,4.42,1.83,4400,2025-07-31,2026-01-31,"{""long_period"":200,""short_period"":50}"
DOGEUSDT,"SMA_Crossover(50,200)",1h,27,48.15,1.35,1.29,2.93,1.48,4400,2025-07-31,2026-01-31,"{""long_period"":200,""short_period"":50}"
UNIUSDT,Confluence_Conservative,1h,69,39.13,0.97,2.74,0.63,1.09,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
UNIUSDT,"RSI_Strategy(14,65,35)",1h,135,38.52,0.66,5.05,0.25,1.03,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
UNIUSDT,"RSI_Strategy(14,70,30)",1h,94,35.11,0.55,3.38,0.26,1.04,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
SOLUSDT,"SMA_Crossover(50,200)",1h,21,42.86,0.11,1.27,0.36,1.05,4400,2025-07-31,2026-01-31,"{""long_period"":200,""short_period"":50}"
DOTUSDT,"SMA_Crossover(20,100)",1h,53,37.74,0.04,2.19,0.06,1.01,4400,2025-07-31,2026-01-31,"{""long_period"":100,""short_period"":20}"
BTCUSDT,Confluence_Conservative,1h,17,41.18,-0.02,1.17,-0.08,0.99,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
BNBUSDT,"RSI_Strategy(14,75,25)",1h,53,32.08,-0.29,2.91,-0.28,0.95,4400,2025-07-31,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
DOGEUSDT,"RSI_Strategy(14,65,35)",1h,168,38.69,-0.34,4.02,-0.08,0.99,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
BNBUSDT,Adaptive(21/55),1h,103,36.89,-0.35,2.66,-0.19,0.97,4400,2025-07-31,2026-01-31,null
