Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
XRPUSDT,"SMA_Crossover(5,20)",4h,69,44.93,7.83,3.85,2.95,1.51,2200,2025-01-28,2026-01-31,"{""long_period"":20,""short_period"":5}"
XRPUSDT,"SMA_Crossover(10,30)",4h,67,38.81,4.93,4.79,2.08,1.34,2200,2025-01-28,2026-01-31,"{""long_period"":30,""short_period"":10}"
SOLUSDT,"RSI_Strategy(7,70,30)",4h,110,38.18,4.32,4.27,1.06,1.15,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
BTCUSDT,"RSI_Strategy(14,75,25)",4h,35,51.43,3.39,1.20,4.37,1.89,2200,2025-01-28,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
ETHUSDT,Confluence_Conservative,4h,63,44.44,3.35,2.50,1.61,1.24,2200,2025-01-28,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
ETHUSDT,"RSI_Strategy(14,65,35)",4h,69,40.58,2.96,2.71,1.23,1.18,2200,2025-01-28,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
ETHUSDT,"SMA_Crossover(5,20)",4h,68,42.65,2.94,5.21,1.34,1.20,2200,2025-01-28,2026-01-31,"{""long_period"":20,""short_period"":5}"
XRPUSDT,Confluence_Conservative,4h,65,41.54,2.73,2.81,1.27,1.18,2200,2025-01-28,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
BTCUSDT,"RSI_Strategy(21,70,30)",4h,28,46.43,2.58,1.05,3.89,1.77,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
ETHUSDT,"SMA_Crossover(10,30)",4h,57,43.86,2.53,2.98,1.39,1.20,2200,2025-01-28,2026-01-31,"{""long_period"":30,""short_period"":10}"
BNBUSDT,"RSI_Strategy(14,65,35)",4h,76,35.53,2.45,3.20,1.13,1.18,2200,2025-01-28,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
ETHUSDT,Confluence_Aggressive,4h,120,40.00,2.11,5.58,0.56,1.07,2200,2025-01-28,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BNBUSDT,"SMA_Crossover(10,30)",4h,60,41.67,2.08,2.73,1.37,1.22,2200,2025-01-28,2026-01-31,"{""long_period"":30,""short_period"":10}"
BTCUSDT,"RSI_Strategy(14,70,30)",4h,57,40.35,1.98,2.77,1.60,1.25,2200,2025-01-28,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
BNBUSDT,"SMA_Crossover(5,20)",4h,69,40.58,1.44,2.52,0.81,1.12,2200,2025-01-28,2026-01-31,"{""long_period"":20,""short_period"":5}"
